Using device: cuda:0
Learning rate: 5e-05
Epoch 1, Training Loss: 2.254, Validation Loss: 2.116
Epoch 84, Training Loss: 0.039, Validation Loss: 0.071
Epoch 85, Training Loss: 0.038, Validation Loss: 0.072
Epoch 86, Training Loss: 0.037, Validation Loss: 0.070
Epoch 87, Training Loss: 0.037, Validation Loss: 0.071
Epoch 88, Training Loss: 0.035, Validation Loss: 0.069
Epoch 89, Training Loss: 0.035, Validation Loss: 0.073
Epoch 90, Training Loss: 0.033, Validation Loss: 0.073
Epoch 91, Training Loss: 0.033, Validation Loss: 0.070
Epoch 92, Training Loss: 0.033, Validation Loss: 0.067
Epoch 93, Training Loss: 0.031, Validation Loss: 0.069
Epoch 94, Training Loss: 0.032, Validation Loss: 0.067
Epoch 95, Training Loss: 0.030, Validation Loss: 0.067
Epoch 96, Training Loss: 0.030, Validation Loss: 0.065
Epoch 97, Training Loss: 0.029, Validation Loss: 0.067
Epoch 98, Training Loss: 0.028, Validation Loss: 0.068
Epoch 99, Training Loss: 0.028, Validation Loss: 0.071
Epoch 100, Training Loss: 0.027, Validation Loss: 0.068
Finished training
Accuracy of the network on 2000 test images: 98.00%
